id,match_id,competition_name,season_name,is_goal
c577e730-b9f5-44f2-9257-9e7730c23d7b,3895302,1. Bundesliga,2023/2024,0
bbc2c68d-c096-483d-abf4-32c0175a0f55,3895302,1. Bundesliga,2023/2024,0
12b5206b-9ed0-4b1e-9ec3-f2028187e09f,3895302,1. Bundesliga,2023/2024,0
b2c3d59d-3bef-4f8a-ad86-26b69940c64e,3895302,1. Bundesliga,2023/2024,0
bb53b537-1685-4019-9e8f-98f3805828eb,3895302,1. Bundesliga,2023/2024,0
0247fb51-7bf7-4be6-82d7-bf63892bdd53,3895302,1. Bundesliga,2023/2024,0
b6b96d19-97e3-4770-996a-f20696123abe,3895302,1. Bundesliga,2023/2024,0
93d22a32-8221-4cab-9d68-d68f4b600599,3895302,1. Bundesliga,2023/2024,0
5d2bf27b-dd07-4895-8744-1673b235fcec,3895302,1. Bundesliga,2023/2024,0
7350b239-c1ab-44b2-9c25-0387553bd338,3895302,1. Bundesliga,2023/2024,0
be78c5ab-d396-4c44-8253-d48373ead6b3,3895302,1. Bundesliga,2023/2024,0
8cf6ed6f-59f8-455f-8930-f5b71f06c180,3895302,1. Bundesliga,2023/2024,0
68ccb2b1-d605-4f46-a725-de0ab09acb96,3895302,1. Bundesliga,2023/2024,0
964b0272-4e02-472a-b09f-0f0d384c5f1c,3895302,1. Bundesliga,2023/2024,0
6db2523e-9343-461c-a8d6-b202470c1e0b,3895302,1. Bundesliga,2023/2024,0
df7d8278-f139-4102-9e6e-3c77d3d575c3,3895302,1. Bundesliga,2023/2024,0
96146263-06f4-4694-8e44-44658af8b8f5,3895302,1. Bundesliga,2023/2024,1
7b3398ab-6dae-42ec-8b11-0cd333d6b085,3895302,1. Bundesliga,2023/2024,0
5085715b-09f6-403c-8b67-a546bcfed0ec,3895302,1. Bundesliga,2023/2024,1
ec3f4afc-df7d-4a53-98a2-508e21c040eb,3895302,1. Bundesliga,2023/2024,0
0af7b077-170b-4ca3-a61f-4ecb4aba33d1,3895302,1. Bundesliga,2023/2024,0
856a63cb-2fbc-4a03-b3ab-c0b98f377391,3895302,1. Bundesliga,2023/2024,0
db15dcc2-36bb-4a82-b5ef-c15e68638ce9,3895302,1. Bundesliga,2023/2024,0
d6a308ca-0f8f-44d5-ad64-aa8870e489ce,3895302,1. Bundesliga,2023/2024,0
4a223f2d-3c3f-4655-b561-9c43a03b0f42,3895302,1. Bundesliga,2023/2024,1
